CAMPO,DESCRIPCION,TIPO_DATO,LONGITUD,RANGO_VALIDO,METADATOS
S4P23_3,"La ciencia y la tecnología hacen nuestras vidas más fáciles, confortables y con mayores niveles de salud",Int,1,[1-5],"La ciencia y la tecnología hacen nuestras vidas más fáciles, confortables y con mayores niveles de salud"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_4,Con la aplicación de la ciencia y nuevas tecnologías el trabajo será más interesante,Int,1,[1-5],Con la aplicación de la ciencia y nuevas tecnologías el trabajo será más interesante
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_5,La ciencia y la tecnología juegan un papel muy importante en la protección y restauración del medio ambiente,Int,1,[1-5],La ciencia y la tecnología juegan un papel muy importante en la protección y restauración del medio ambiente
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_6,Los descubrimientos tecnológicos tarde o temprano destruirán el planeta,Int,1,[1-5],Los descubrimientos tecnológicos tarde o temprano destruirán el planeta
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_7,Los nuevos inventos sirven para contrarrestar las consecuencias dañinas del desarrollo tecnológico,Int,1,[1-5],Los nuevos inventos sirven para contrarrestar las consecuencias dañinas del desarrollo tecnológico
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_8,La ciencia y la tecnología ayudarán a erradicar la pobreza y hambruna en el mundo,Int,1,[1-5],La ciencia y la tecnología ayudarán a erradicar la pobreza y hambruna en el mundo
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_9,"En general, la automatización de las fábricas y la computación crearán más empleos de los que se eliminarán",Int,1,[1-5],"En general, la automatización de las fábricas y la computación crearán más empleos de los que se eliminarán"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_10,"Gracias a los avances científicos y tecnológicos, los recursos naturales de la tierra serán inagotables",Int,1,[1-5],"Gracias a los avances científicos y tecnológicos, los recursos naturales de la tierra serán inagotables"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_11,La ciencia y la tecnología pueden resolver todos los problemas,Int,1,[1-5],La ciencia y la tecnología pueden resolver todos los problemas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
